Rank,Major_code,Major,National,Men,Women,Total,Major_catagory,ShareWomen,Median,Histogram_column,midpoint
1,GIN,Guinea,68.796333,70.075462,67.35228,137.427742,Africa,0.490092313,68.796333,7,68.713871
2,BFA,Burkina Faso,66.654243,66.834869,66.468346,133.303215,Africa,0.498625228,66.654243,7,66.6516075
3,SOM,Somalia,63.080555,62.510693,63.733757,126.24445,Africa,0.504844031,63.080555,7,63.122225
4,NER,Niger,57.718025,58.710922,56.733574,115.444496,Africa,0.491435936,57.718025,6,57.722248
5,TCD,Chad,54.583504,54.66301,54.499649,109.162659,Africa,0.499251754,54.583504,6,54.5813295
6,GMB,Gambia,49.091194,49.417149,48.745884,98.163033,Africa,0.496580867,49.091194,5,49.0815165
7,BTN,Bhutan,47.342747,49.095341,45.368351,94.463692,Asia,0.480272897,47.342747,5,47.231846
8,ETH,Ethiopia,45.990513,45.763725,46.224613,91.988338,Africa,0.502505144,45.990513,5,45.994169
9,LSO,Lesotho,45.856026,47.409447,44.420769,91.830216,Africa,0.483727154,45.856026,5,45.915108
10,CIV,Cote d'Ivoire,45.066826,46.183765,44.024567,90.208332,Africa,0.488032159,45.066826,5,45.104166
11,BEN,Benin,41.762695,39.072826,44.636982,83.709808,Africa,0.533234791,41.762695,5,41.854904
12,MLI,Mali,40.772877,41.543213,39.971058,81.514271,Africa,0.490356566,40.772877,5,40.7571355
13,AFG,Afghanistan,39.640709,40.416656,38.826572,79.243228,Asia,0.489967067,39.640709,4,39.621614
14,IND,India,37.858204,36.867409,38.973812,75.841221,Asia,0.513886927,37.858204,4,37.9206105
15,GNB,Guinea-Bissau,37.333672,38.179958,36.415726,74.595684,Africa,0.488174705,37.333672,4,37.297842
16,UZB,Uzbekistan,35.013683,32.286755,38.034119,70.320874,Asia,0.540865277,35.013683,4,35.160437
17,GAB,Gabon,34.860817,34.595879,35.136841,69.73272,Africa,0.503878825,34.860817,4,34.86636
18,NAM,Namibia,34.761864,35.604301,33.862484,69.466785,Africa,0.487462951,34.761864,4,34.7333925
19,PAK,Pakistan,34.591179,32.752857,36.502178,69.255035,Asia,0.527068942,34.591179,4,34.6275175
20,MMR,Myanmar,34.520145,33.82177,35.334892,69.156662,Asia,0.510939814,34.520145,4,34.578331
21,TLS,Timor-Leste,34.459492,35.261909,33.606728,68.868637,Asia,0.487983057,34.459492,4,34.4343185
22,SDN,Sudan,33.785599,33.587368,33.99538,67.582748,Africa,0.503018611,33.785599,4,33.791374
23,SLE,Sierra Leone,33.188339,35.003487,31.442715,66.446202,Africa,0.473205602,33.188339,4,33.223101
24,TGO,Togo,33.120941,32.13105,34.168705,66.299755,Africa,0.515366987,33.120941,4,33.1498775
25,SEN,Senegal,32.754326,31.976458,33.607849,65.584307,Africa,0.512437358,32.754326,4,32.7921535
26,NGA,Nigeria,32.529671,33.396034,31.661728,65.057762,Africa,0.486671029,32.529671,4,32.528881
27,TJK,Tajikistan,32.148266,33.499466,30.713356,64.212822,Asia,0.478305657,32.148266,4,32.106411
28,BGD,Bangladesh,31.30658,31.089968,31.527466,62.617434,Asia,0.50349342,31.30658,4,31.308717
29,COM,Comoros,31.18664,36.710022,25.275398,61.98542,Africa,0.4077636,31.18664,4,30.99271
30,ZWE,Zimbabwe,30.300894,30.484299,30.105606,60.589905,Africa,0.49687495,30.300894,4,30.2949525
31,YEM,Yemen,30.15461,29.736656,30.585262,60.321918,Asia,0.507033977,30.15461,4,30.160959
32,COD,Democratic Republic of the Congo,30.057127,31.48827,28.62348,60.11175,Africa,0.476171131,30.057127,4,30.055875
33,AGO,Angola,29.873497,29.767641,29.979521,59.747162,Africa,0.501773139,29.873497,3,29.873581
34,MHL,Marshall Islands,29.409218,31.163132,27.358994,58.522126,Oceania,0.467498293,29.409218,3,29.261063
35,LBR,Liberia,29.314226,28.638817,30.054956,58.693773,Africa,0.512063793,29.314226,3,29.3468865
36,MOZ,Mozambique,29.033178,27.993254,30.024752,58.018006,Africa,0.517507479,29.033178,3,29.009003
37,ZMB,Zambia,26.459435,25.805536,27.095366,52.900902,Africa,0.512191002,26.459435,3,26.450451
38,MRT,Mauritania,26.139677,27.748199,24.586266,52.334465,Africa,0.469791102,26.139677,3,26.1672325
39,KGZ,Kyrgyzstan,26.137459,26.944851,25.215218,52.160069,Asia,0.483419951,26.137459,3,26.0800345
40,PNG,Papua New Guinea,25.970892,25.028202,27.037981,52.066183,Oceania,0.519300234,25.970892,3,26.0330915
41,CMR,Cameroon,24.75967,24.519114,24.994642,49.513756,Africa,0.504801979,24.75967,3,24.756878
42,HTI,Haiti,24.191252,25.03598,23.356279,48.392259,Latin America and the Caribbean,0.482644941,24.191252,3,24.1961295
43,AZE,Azerbaijan,23.82148,25.232727,22.107889,47.340616,Asia,0.466996226,23.82148,3,23.670308
44,COG,Congo,23.739374,23.255539,24.20253,47.458069,Africa,0.509977134,23.739374,3,23.7290345
45,SUR,Suriname,23.443773,24.486858,22.250523,46.737381,Latin America and the Caribbean,0.476075521,23.443773,3,23.3686905
46,ECU,Ecuador,23.080702,22.741655,23.442099,46.183754,Latin America and the Caribbean,0.507583229,23.080702,3,23.091877
47,ZAF,South Africa,22.792246,24.407568,21.031471,45.439039,Africa,0.46285026,22.792246,3,22.7195195
48,WSM,Samoa,22.646034,18.757175,26.681623,45.438798,Oceania,0.587199138,22.646034,3,22.719399
49,BDI,Burundi,21.562531,21.347853,21.7736,43.121453,Africa,0.504936603,21.562531,3,21.5607265
50,TCA,Turks and Caicos Islands,21.469391,1.1133965,33.885078,34.9984745,Latin America and the Caribbean,0.968187285,21.469391,3,17.49923725
51,LAO,Lao People's Democratic Republic,21.301615,20.268602,22.469124,42.737726,Asia,0.525744491,21.301615,3,21.368863
52,KHM,Cambodia,21.191935,21.375151,21.002125,42.377276,Asia,0.49559875,21.191935,3,21.188638
53,MWI,Malawi,21.050043,21.749662,20.316847,42.066509,Africa,0.482969647,21.050043,3,21.0332545
54,KIR,Kiribati,19.96512,16.472044,23.871559,40.343603,Oceania,0.591706175,19.96512,2,20.1718015
55,RWA,Rwanda,19.815344,21.293165,18.380707,39.673872,Africa,0.463295012,19.815344,2,19.836936
56,GHA,Ghana,19.773222,17.487026,21.946875,39.433901,Africa,0.556548412,19.773222,2,19.7169505
57,CAF,Central African Republic,19.030952,19.326935,18.728901,38.055836,Africa,0.492142677,19.030952,2,19.027918
58,KEN,Kenya,18.939823,18.477791,19.422787,37.900578,Africa,0.512466776,18.939823,2,18.950289
59,UGA,Uganda,18.916929,17.585987,20.223146,37.809133,Africa,0.534874629,18.916929,2,18.9045665
60,SWZ,Eswatini,18.408035,17.044874,19.877335,36.922209,Africa,0.538357144,18.408035,2,18.4611045
61,MDG,Madagascar,17.083975,16.53968,17.620979,34.160659,Africa,0.515826671,17.083975,2,17.0803295
62,DZA,Algeria,16.808662,15.849497,17.784655,33.634152,Africa,0.528767754,16.808662,2,16.817076
63,EGY,Egypt,16.341267,16.467581,16.208126,32.675707,Africa,0.496029849,16.341267,2,16.3378535
64,NPL,Nepal,15.764456,13.366848,18.350292,31.71714,Asia,0.57856074,15.764456,2,15.85857
65,TZA,United Republic of Tanzania,15.523641,17.085188,14.031145,31.116333,Africa,0.450925403,15.523641,2,15.5581665
66,GUY,Guyana,14.572084,16.847652,12.369993,29.217645,Latin America and the Caribbean,0.42337406,14.572084,2,14.6088225
67,IRQ,Iraq,14.347421,14.47828,14.207461,28.685741,Asia,0.495279554,14.347421,2,14.3428705
68,IDN,Indonesia,14.23246,14.932034,13.4885,28.420534,Asia,0.474604031,14.23246,2,14.210267
69,TUV,Tuvalu,13.994946,13.765989,14.214513,27.980502,Oceania,0.508014938,13.994946,2,13.990251
70,STP,Sao Tome and Principe,13.486793,11.807256,15.326053,27.133309,Africa,0.564842755,13.486793,2,13.5666545
71,MDV,Maldives,13.043489,13.880548,12.190222,26.07077,Asia,0.46758197,13.043489,2,13.035385
72,TON,Tonga,12.755558,10.108258,15.122229,25.230487,Oceania,0.599363342,12.755558,2,12.6152435
73,ARM,Armenia,12.471316,13.763046,10.779145,24.542191,Asia,0.439208749,12.471316,2,12.2710955
74,PHL,Philippines,12.061163,11.898189,12.241869,24.140058,Asia,0.507118458,12.061163,2,12.070029
75,ALB,Albania,11.816708,12.273266,11.239899,23.513165,Europe,0.478025778,11.816708,2,11.7565825
76,KAZ,Kazakhstan,11.476427,10.742636,12.278686,23.021322,Asia,0.533361464,11.476427,2,11.510661
77,DOM,Dominican Republic,11.430556,11.47654,11.383748,22.860288,Latin America and the Caribbean,0.497970454,11.430556,2,11.430144
78,PSE,State of Palestine,11.103975,11.341381,10.849637,22.191018,Asia,0.488920202,11.103975,2,11.095509
79,JOR,Jordan,11.031387,10.094965,11.93841,22.033375,Asia,0.541833015,11.031387,2,11.0166875
80,MKD,North Macedonia,10.932995,13.417384,8.2032728,21.6206568,Europe,0.379418298,10.932995,2,10.8103284
81,HND,Honduras,9.9396152,10.323093,9.5549755,19.8780685,Latin America and the Caribbean,0.480679272,9.9396152,1,9.93903425
82,BLZ,Belize,9.8894844,9.4494801,10.347712,19.7971921,Latin America and the Caribbean,0.522685841,9.8894844,1,9.89859605
83,GTM,Guatemala,9.3520641,9.318862,9.3874674,18.7063294,Latin America and the Caribbean,0.501833748,9.3520641,1,9.3531647
84,MNG,Mongolia,8.7560863,8.9484386,8.5442257,17.4926643,Asia,0.488446217,8.7560863,1,8.74633215
85,MEX,Mexico,8.7347355,9.079628,8.4168215,17.4964495,Latin America and the Caribbean,0.481058829,8.7347355,1,8.74822475
86,THA,Thailand,8.525775,7.0921383,10.335104,17.4272423,Asia,0.593042997,8.525775,1,8.71362115
87,BOL,Bolivia (Plurinational State of),8.4654999,7.8058734,9.1802206,16.986094,Latin America and the Caribbean,0.540455069,8.4654999,1,8.493047
88,TUN,Tunisia,8.4121952,7.9904928,8.8965673,16.8870601,Africa,0.526827479,8.4121952,1,8.44353005
89,COL,Colombia,7.8850508,7.8171282,7.9587593,15.7758875,Latin America and the Caribbean,0.504488847,7.8850508,1,7.88794375
90,FJI,Fiji,7.8221822,6.7246971,8.9649725,15.6896696,Oceania,0.571393326,7.8221822,1,7.8448348
91,GEO,Georgia,7.6013603,8.8032446,6.4284086,15.2316532,Asia,0.422042737,7.6013603,1,7.6158266
92,PER,Peru,6.9624772,7.4210443,6.520009,13.9410533,Latin America and the Caribbean,0.467684102,6.9624772,1,6.97052665
93,MDA,Republic of Moldova,6.165308,5.5157347,6.8821735,12.3979082,Europe,0.555107635,6.165308,1,6.1989541
94,URY,Uruguay,5.7616987,6.1616535,5.3262973,11.4879508,Latin America and the Caribbean,0.463642071,5.7616987,1,5.7439754
95,PRY,Paraguay,5.5888534,5.2170219,6.0195227,11.2365446,Latin America and the Caribbean,0.535709412,5.5888534,1,5.6182723
96,TKM,Turkmenistan,4.8169661,5.0346289,4.588697,9.6233259,Asia,0.476830677,4.8169661,1,4.81166295
97,SLV,El Salvador,4.7982249,4.76683,4.830018,9.596848,Latin America and the Caribbean,0.503292123,4.7982249,1,4.798424
98,VNM,Viet Nam,4.7962742,3.7366443,6.0005369,9.7371812,Asia,0.616249896,4.7962742,1,4.8685906
99,LKA,Sri Lanka,4.7949944,4.0335374,5.5731616,9.606699,Asia,0.580132843,4.7949944,1,4.8033495
100,MNE,Montenegro,4.3915014,4.9477825,3.771811,8.7195935,Europe,0.432567298,4.3915014,1,4.35979675
101,CUB,Cuba,3.4808829,2.1186979,4.8925338,7.0112317,Latin America and the Caribbean,0.697813738,3.4808829,1,3.50561585
102,CRI,Costa Rica,3.0040755,4.3255663,1.7513556,6.0769219,Latin America and the Caribbean,0.288197813,3.0040755,1,3.03846095
103,SRB,Serbia,1.8923749,2.3836129,1.3570051,3.740618,Europe,0.362775643,1.8923749,1,1.870309
104,BLR,Belarus,1.1691468,1.3296704,1.0101653,2.3398357,Europe,0.431724886,1.1691468,1,1.16991785
105,,,,,,0,,0.764426528,#NUM!,1,#DIV/0!
106,,,,,,0,,0.366176878,#NUM!,1,#DIV/0!
107,,,,,,0,,0.124950495,#NUM!,1,#DIV/0!
108,,,,,,0,,0.374355623,#NUM!,1,#DIV/0!
109,,,,,,0,,0.63814682,#NUM!,1,#DIV/0!
110,,,,,,0,,0.770901106,#NUM!,1,#DIV/0!
111,,,,,,0,,0.321296067,#NUM!,1,#DIV/0!
112,,,,,,0,,0.125034655,#NUM!,1,#DIV/0!
113,,,,,,0,,0.305109489,#NUM!,1,#DIV/0!
114,,,,,,0,,0.812876606,#NUM!,1,#DIV/0!
115,,,,,,0,,0.448732309,#NUM!,1,#DIV/0!
116,,,,,,0,,0.733967583,#NUM!,1,#DIV/0!
117,,,,,,0,,0.652129817,#NUM!,1,#DIV/0!
118,,,,,,0,,0.507376968,#NUM!,1,#DIV/0!
119,,,,,,0,,0.792095262,#NUM!,1,#DIV/0!
120,,,,,,0,,0.728032591,#NUM!,1,#DIV/0!
121,,,,,,0,,0.651741294,#NUM!,1,#DIV/0!
122,,,,,,0,,0.566640502,#NUM!,1,#DIV/0!
123,,,,,,0,,0.556603774,#NUM!,1,#DIV/0!
124,,,,,,0,,0.601858152,#NUM!,1,#DIV/0!
125,,,,,,0,,0.718364766,#NUM!,1,#DIV/0!
126,,,,,,0,,0.532333788,#NUM!,1,#DIV/0!
127,,,,,,0,,0.721865913,#NUM!,1,#DIV/0!
128,,,,,,0,,0.651659908,#NUM!,1,#DIV/0!
129,,,,,,0,,0.877227528,#NUM!,1,#DIV/0!
130,,,,,,0,,0.733991928,#NUM!,1,#DIV/0!
131,,,,,,0,,0.64,#NUM!,1,#DIV/0!
132,,,,,,0,,0.76432029,#NUM!,1,#DIV/0!
133,,,,,,0,,0.576360061,#NUM!,1,#DIV/0!
134,,,,,,0,,0.601751825,#NUM!,1,#DIV/0!
135,,,,,,0,,0.774576624,#NUM!,1,#DIV/0!
136,,,,,,0,,0.416809574,#NUM!,1,#DIV/0!
137,,,,,,0,,0.6860244,#NUM!,1,#DIV/0!
138,,,,,,0,,0.70089843,#NUM!,1,#DIV/0!
139,,,,,,0,,0.923745479,#NUM!,1,#DIV/0!
140,,,,,,0,,0.502846315,#NUM!,1,#DIV/0!
141,,,,,,0,,0.686992952,#NUM!,1,#DIV/0!
142,,,,,,0,,0.423208896,#NUM!,1,#DIV/0!
143,,,,,,0,,0.606888545,#NUM!,1,#DIV/0!
144,,,,,,0,,0.339670982,#NUM!,1,#DIV/0!
145,,,,,,0,,0.683942619,#NUM!,1,#DIV/0!
146,,,,,,0,,0.779933204,#NUM!,1,#DIV/0!
147,,,,,,0,,0.506720763,#NUM!,1,#DIV/0!
148,,,,,,0,,0.444582285,#NUM!,1,#DIV/0!
149,,,,,,0,,0.845934379,#NUM!,1,#DIV/0!
150,,,,,,0,,0.667033853,#NUM!,1,#DIV/0!
151,,,,,,0,,0.91093257,#NUM!,1,#DIV/0!
152,,,,,,0,,0.904074544,#NUM!,1,#DIV/0!
153,,,,,,0,,0.752143884,#NUM!,1,#DIV/0!
154,,,,,,0,,0.745661538,#NUM!,1,#DIV/0!
155,,,,,,0,,0.810704147,#NUM!,1,#DIV/0!
156,,,,,,0,,0.798919817,#NUM!,1,#DIV/0!
157,,,,,,0,,0.90558993,#NUM!,1,#DIV/0!
158,,,,,,0,,0.697384245,#NUM!,1,#DIV/0!
159,,,,,,0,,0.383719006,#NUM!,1,#DIV/0!
160,,,,,,0,,0.719974083,#NUM!,1,#DIV/0!
161,,,,,,0,,0.584776403,#NUM!,1,#DIV/0!
162,,,,,,0,,0.728494624,#NUM!,1,#DIV/0!
163,,,,,,0,,0.707136237,#NUM!,1,#DIV/0!
164,,,,,,0,,0.967998119,#NUM!,1,#DIV/0!
165,,,,,,0,,0.968953683,#NUM!,1,#DIV/0!
166,,,,,,0,,0.690110675,#NUM!,1,#DIV/0!
167,,,,,,0,,0.666119448,#NUM!,1,#DIV/0!
168,,,,,,0,,0.629504564,#NUM!,1,#DIV/0!
169,,,,,,0,,0.637293376,#NUM!,1,#DIV/0!
170,,,,,,0,,0.817098809,#NUM!,1,#DIV/0!
171,,,,,,0,,0.799859056,#NUM!,1,#DIV/0!
172,,,,,,0,,0.798746217,#NUM!,1,#DIV/0!
173,,,,,,0,,0.877959927,#NUM!,1,#DIV/0!
